CANMORE ID,SITE NUMBER,SITE NAME,SITE TYPE,SITE EASTING,SITE NORTHING,COUNCIL,COUNTY,PARISH,NGR,URL
37430,NR26SE 6,"Islay, Cnoc Iolairean","Enclosure(S) (Period Unassigned), Quarry(S) (Period Unassigned)",128700,663600,ARGYLL AND BUTE,ARGYLL,KILCHOMAN,NR 287 636,http://canmore.org.uk/site/37430
37433,NR26SE 9,"Islay, Foreland House",Cist(S) (Period Unassigned),126910,663550,ARGYLL AND BUTE,ARGYLL,KILCHOMAN,NR 2691 6355,http://canmore.org.uk/site/37433
37506,NR27SE 7,"Islay, Kilnave","Findspot, Core(S) (Flint), Flake(S) (Flint)",128630,671600,ARGYLL AND BUTE,ARGYLL,KILCHOMAN,NR 2863 7160,http://canmore.org.uk/site/37506
37507,NR27SE 8,"Islay, Ardnave","Findspot, Lithic Implement(S) (Stone), Unidentified Flint(S) (Flint)",129200,673200,ARGYLL AND BUTE,ARGYLL,KILCHOMAN,NR 292 732,http://canmore.org.uk/site/37507
37508,NR27SE 9,"Islay, Ardnave","Cairn(S) (Period Unassigned)(Possible), Unidentified Flint(S) (Flint), Unidentified Pottery",129300,673400,ARGYLL AND BUTE,ARGYLL,KILCHOMAN,NR 293 734,http://canmore.org.uk/site/37508
37792,NR37SW 2,"Islay, Cnoc A'mhoirt",Midden(S) (Period Unassigned)(Possible),130930,672070,ARGYLL AND BUTE,ARGYLL,KILLAROW AND KILMENY,NR 3093 7207,http://canmore.org.uk/site/37792
37819,NR38NE 7,"Oronsay, Airigh Na Creige",Midden (Period Unassigned),137210,689280,ARGYLL AND BUTE,ARGYLL,COLONSAY AND ORONSAY,NR 3721 8928,http://canmore.org.uk/site/37819
38416,NR62SE 25,Aros Moss,No Class (Event),167000,622000,ARGYLL AND BUTE,ARGYLL,CAMPBELTOWN,NR 67 22,http://canmore.org.uk/site/38416
38458,NR63NE 31,Rosehill,Lithic Working Site (Prehistoric),166500,637800,ARGYLL AND BUTE,ARGYLL,KILLEAN AND KILCHENZIE,NR 665 378,http://canmore.org.uk/site/38458
38604,NR65SE 19,"Gigha, Kinerarach","Findspot, Lithic Scatter (Mesolithic), Polished Axehead (Stone)",165900,653480,ARGYLL AND BUTE,ARGYLL,GIGHA AND CARA,NR 6590 5348,http://canmore.org.uk/site/38604
38649,NR68NW 3,"Jura, Lussa River","Occupation Site (Period Unassigned), Lithic Implement(S)",164480,687340,ARGYLL AND BUTE,ARGYLL,JURA,NR 6448 8734,http://canmore.org.uk/site/38649
38672,NR69SE 3,"Jura, North Carn","Lithic Implement(S) (Stone), Microlith(S)",168500,693900,ARGYLL AND BUTE,ARGYLL,JURA,NR 685 939,http://canmore.org.uk/site/38672
38673,NR69SE 4,"Jura, Lealt Bay","Lithic Implement(S) (Stone), Microlith(S)",166200,690200,ARGYLL AND BUTE,ARGYLL,JURA,NR 662 902,http://canmore.org.uk/site/38673
39624,NR92NW 16,"Arran, Shiskine","Findspot, Unidentified Flint(S) (Flint)(Mesolithic)",191000,629000,NORTH AYRSHIRE,BUTESHIRE,KILMORY,NR 91 29,http://canmore.org.uk/site/39624
39664,NR92SE 9,"Arran, Bennan, Black Cave","Cave, Place Of Worship (Post Medieval), Shell Midden (Mesolithic)(Possible), Arrowhead (Prehistoric), Unidentified Flint(S) (Flint)(Prehistoric)",199297,620264,NORTH AYRSHIRE,BUTESHIRE,KILMORY,NR 99297 20264,http://canmore.org.uk/site/39664
39776,NR93SW 76,"Arran, Machrie Moor","No Class (Event), Ecofacts, Plant Remains",190500,631500,NORTH AYRSHIRE,BUTESHIRE,KILMORY,NR 905 315,http://canmore.org.uk/site/39776
39783,NR94NW 4,"Arran, Catacol","Findspot (20th Century), Unidentified Flint(S) (Flint)(Mesolithic)",191100,649500,NORTH AYRSHIRE,BUTESHIRE,KILMORY,NR 911 495,http://canmore.org.uk/site/39783
40100,NS02NW 23,"Arran, Knockenkelly","Findspot (20th Century), Unidentified Flint(S) (Flint)",204000,627000,NORTH AYRSHIRE,BUTESHIRE,KILBRIDE,NS 04 27,http://canmore.org.uk/site/40100
40249,NS05NE 26,"Bute, Ardnahoe","Findspot, Core (Flint)",207000,657500,ARGYLL AND BUTE,BUTESHIRE,KINGARTH,NS 070 575,http://canmore.org.uk/site/40249
40586,NS10SE 2,Girvan Mains,Unidentified Flint(S) (Flint),219480,600010,SOUTH AYRSHIRE,AYRSHIRE,GIRVAN,NS 1948 0001,http://canmore.org.uk/site/40586
